,Country,Date,Cloudiness,Humidity,Latitude,Longitude,Max Temp (F),Wind Speed (mph)
297,ID,1561659643,100,99,-3.36,135.5,70.33,2.73
298,TD,1561659643,45,74,9.45,18.94,77.35,3.4
299,PY,1561659643,0,69,-26.98,-56.83,68.17,7.99
300,PK,1561659643,19,28,31.34,69.45,78.07,2.73
301,BR,1561659514,29,66,-0.41,-65.02,85.99,5.75
302,MN,1561659644,72,44,49.98,92.07,60.97,3.33
303,IN,1561659420,32,62,14.68,77.61,80.95,21.74
304,PH,1561659644,100,99,17.54,120.52,73.57,2.59
305,PE,1561659644,90,30,-13.71,-76.2,71.6,6.93
306,JP,1561659644,100,99,39.28,141.86,60.97,1.25
307,MX,1561659645,75,47,21.05,-89.07,97.0,8.72
308,GN,1561659645,75,79,9.52,-13.7,84.2,11.41
309,FR,1561659525,0,37,45.6,-0.6,98.6,10.29
310,ID,1561659605,20,78,-8.65,115.22,77.0,5.82
311,RU,1561659646,29,77,58.81,41.03,56.11,6.44
312,CA,1561659461,20,31,48.95,-57.95,75.2,3.36
313,IN,1561659646,40,49,26.46,80.77,93.2,2.24
314,PE,1561659646,1,46,-11.41,-69.49,88.87,8.08
315,BR,1561659470,60,75,-9.01,-35.22,78.25,10.45
316,SE,1561659647,76,49,67.86,20.23,48.2,19.46
317,RU,1561659647,100,55,67.46,153.71,48.19,14.18
318,GR,1561659263,20,28,39.45,22.34,86.0,3.29
319,NG,1561659648,35,85,8.5,8.51,78.97,5.86
320,MX,1561659648,40,55,19.77,-89.85,91.4,11.41
321,RU,1561659522,100,41,71.97,114.09,54.49,5.55
322,BR,1561659648,0,69,-30.17,-50.22,62.41,12.08
323,PH,1561659649,100,82,11.0,122.67,76.99,5.32
324,NA,1561659649,18,22,-22.45,18.97,68.0,3.36
325,NA,1561659649,9,25,-20.11,16.16,66.2,5.57
326,US,1561659298,1,68,34.64,-120.46,72.0,13.87
327,RU,1561659505,15,62,60.42,134.54,56.65,4.97
328,AU,1561659650,0,70,-33.38,148.01,54.0,1.01
329,NO,1561659650,75,87,63.66,9.57,53.01,10.29
330,BR,1561659650,4,79,-2.86,-67.77,83.65,3.91
331,NG,1561659650,92,97,5.43,7.07,73.39,3.58
332,PT,1561659504,40,60,38.52,-28.7,68.0,11.41
333,GB,1561659651,0,68,51.88,0.55,69.01,13.87
334,SA,1561659651,0,7,18.39,42.45,84.2,11.41
335,ID,1561659502,1,71,4.14,96.13,83.47,3.62
336,AU,1561659520,83,88,-12.18,136.78,69.8,4.7
337,RU,1561659652,75,95,53.12,48.85,53.05,6.98
338,BF,1561659652,46,18,13.58,-2.42,102.01,3.8
339,CA,1561659652,17,48,54.02,-124.02,66.01,10.31
340,US,1561659653,1,41,33.83,-87.28,95.0,2.73
341,AU,1561659653,0,62,-31.97,141.45,53.6,11.41
342,AU,1561659653,67,79,-37.88,147.99,44.01,6.55
343,AU,1561659654,90,100,-32.72,152.14,57.0,3.36
344,HR,1561659654,20,41,45.27,15.22,91.4,3.36
345,PT,1561659655,75,72,38.73,-27.07,69.01,14.61
346,ID,1561659551,65,70,-9.11,124.89,74.65,15.01
347,CN,1561659656,0,14,42.84,93.51,77.53,16.11
348,CN,1561659656,100,76,42.12,118.78,64.03,6.08
349,CN,1561659656,96,84,34.57,105.89,55.75,5.14
350,BG,1561659656,0,54,41.93,25.56,80.6,9.17
351,KE,1561659657,20,74,-4.13,39.32,78.8,8.05
352,IN,1561659657,77,78,30.78,78.62,41.17,1.74
353,US,1561659657,40,42,39.81,-121.58,73.0,8.05
354,CO,1561659657,49,88,-0.19,-74.78,81.67,3.44
355,BR,1561659658,40,34,-19.77,-43.85,82.4,5.82
356,PH,1561659658,100,85,12.18,125.51,79.33,5.77
357,EC,1561659658,75,65,-3.33,-79.81,89.6,6.93
358,RU,1561659319,100,98,73.51,80.55,33.79,7.34
359,RU,1561659659,0,52,55.03,87.0,69.8,4.47
360,TH,1561659659,100,97,16.98,98.52,71.41,1.83
361,US,1561659659,1,20,32.77,-108.28,89.01,12.75
362,IL,1561659659,20,69,31.8,34.94,81.0,5.82
363,ID,1561659660,47,98,-0.5,117.14,75.37,4.27
364,CD,1561659660,0,28,-10.7,22.23,69.79,4.07
365,PK,1561659661,20,29,33.53,71.06,89.6,6.93
366,MZ,1561659661,75,88,-23.87,35.38,68.0,1.97
367,GL,1561659661,40,62,60.91,-46.05,53.6,8.05
368,NO,1561659661,95,75,71.0,24.66,42.8,29.97
369,SB,1561659662,99,83,-8.15,159.59,79.87,5.35
370,JP,1561659662,100,98,38.56,141.15,66.91,7.76
371,NZ,1561659662,9,79,-35.17,173.16,57.73,13.24
372,TG,1561659663,82,65,9.35,1.24,82.03,2.04
373,RU,1561659507,39,89,55.93,158.7,37.93,1.81
374,TR,1561659663,40,54,37.77,29.09,79.0,5.82
375,PE,1561659664,2,84,-5.56,-80.82,66.01,9.08
376,RU,1561659664,100,90,56.37,38.59,57.73,11.43
377,ID,1561659522,83,72,-0.92,100.36,83.83,7.2
378,RU,1561659664,1,88,56.17,91.82,62.6,1.74
379,VE,1561659665,5,50,9.86,-66.38,84.01,5.88
380,ES,1561659665,75,82,43.27,-7.54,73.0,4.7
381,US,1561659665,1,62,30.3,-99.24,87.01,10.29
382,GH,1561659369,88,86,4.87,-2.24,77.17,11.48
383,IN,1561659666,81,77,16.48,81.84,83.83,3.6
384,HN,1561659666,90,45,14.25,-87.96,86.0,6.93
385,RU,1561659666,0,85,52.37,140.44,42.25,2.48
386,NZ,1561659667,75,83,-45.41,167.72,42.79,6.6
387,RU,1561659667,17,82,58.76,42.68,54.49,6.15
388,CA,1561659667,75,72,47.66,-52.73,66.0,10.29
389,CG,1561659668,0,64,-2.95,12.72,72.13,2.35
390,PG,1561659668,100,79,-6.22,155.63,80.59,5.14
391,BR,1561659668,0,32,-9.56,-48.4,91.39,5.35
392,CV,1561659512,0,81,14.9,-24.5,75.19,29.37
393,BR,1561659668,70,93,-8.84,-69.26,79.33,3.85
394,US,1561659669,75,48,64.86,-147.8,64.4,3.36
395,FI,1561659669,0,44,64.68,24.47,60.8,14.99
396,CA,1561659669,20,61,45.63,-73.98,84.99,9.17
397,AU,1561659670,20,76,-37.84,145.39,57.99,17.22
398,RU,1561659670,99,70,62.53,155.8,47.65,9.1
399,CO,1561659670,68,89,3.87,-67.92,82.21,2.44
400,BR,1561659670,75,55,2.82,-60.67,87.8,11.41
401,RU,1561659670,42,71,60.74,56.73,51.97,3.89
402,GL,1561659671,75,60,69.22,-51.1,42.8,6.93
403,BW,1561659671,37,35,-23.67,22.79,61.15,7.18
404,ID,1561659671,6,83,-7.05,112.74,70.51,5.03
405,KZ,1561659511,17,19,45.32,55.19,81.31,9.98
406,PT,1561659672,0,64,37.14,-8.45,79.0,18.34
407,US,1561659672,1,37,40.13,-75.52,91.99,6.93
408,BR,1561659672,20,30,-19.91,-48.39,84.2,8.05
409,RU,1561659672,1,78,56.95,90.69,63.13,1.39
410,ES,1561659673,0,48,37.46,-6.01,89.6,9.17
411,CA,1561659458,75,93,44.65,-63.58,64.0,14.99
412,ID,1561659673,99,92,-0.86,131.25,75.73,6.49
413,TD,1561659673,49,51,13.47,22.2,80.77,6.24
414,IT,1561659673,0,43,40.84,8.4,87.8,9.17
415,US,1561659674,1,41,30.65,-91.16,95.0,3.98
416,PH,1561659674,75,94,6.08,118.3,75.2,5.82
417,MY,1561659674,77,85,2.38,103.02,75.73,4.07
418,ID,1561659675,16,76,5.56,95.32,84.01,13.47
419,JP,1561659675,100,92,40.81,140.39,64.99,4.0
420,TR,1561659675,20,63,40.61,43.1,69.8,8.05
421,CN,1561659675,5,38,39.73,98.49,66.01,9.15
422,RU,1561659676,8,61,56.78,105.75,60.97,5.5
423,BR,1561659516,14,79,-0.97,-62.93,83.11,4.61
424,US,1561659548,20,63,25.91,-97.49,91.4,13.87
425,NG,1561659677,6,47,12.18,6.51,87.97,8.46
426,VE,1561659677,6,67,8.92,-67.43,85.09,6.64
427,ES,1561659677,75,69,28.66,-17.92,73.4,11.41
428,RU,1561659678,32,79,59.56,150.8,44.95,0.74
429,NO,1561659678,75,70,70.86,29.09,46.4,20.8
430,RU,1561659678,43,93,50.92,118.9,48.19,3.47
431,RU,1561659678,99,84,61.92,159.24,52.15,2.86
432,CN,1561659678,100,98,27.3,105.3,64.57,5.82
433,RU,1561659679,0,59,57.68,40.37,60.8,11.18
434,MA,1561659654,75,48,31.63,-7.99,82.4,6.93
435,CN,1561659679,0,94,29.29,121.42,78.01,6.71
436,RU,1561659679,29,94,52.15,93.92,50.35,2.95
437,BR,1561659680,88,76,-21.13,-51.1,74.29,3.98
438,US,1561659680,90,78,21.32,-158.01,82.4,9.17
439,JP,1561659680,75,94,34.26,135.31,75.2,1.12
440,CU,1561659681,75,46,22.41,-79.97,91.4,13.87
441,US,1561659553,1,67,40.8,-124.16,66.0,8.05
442,US,1561659681,40,55,35.41,-99.4,89.6,19.46
443,UY,1561659387,13,65,-34.48,-54.34,53.95,8.84
444,UG,1561659682,54,86,0.95,30.8,70.51,4.05
445,FR,1561659682,0,52,48.95,4.24,93.2,16.11
446,RU,1561659682,20,81,55.46,50.14,51.8,6.71
447,KY,1561659683,40,79,19.28,-81.25,88.0,11.41
448,US,1561659683,1,57,44.37,-100.35,82.0,5.82
449,MZ,1561659683,8,94,-16.84,36.99,61.33,1.88
450,KZ,1561659684,0,81,51.13,71.43,51.8,11.18
451,RU,1561659684,0,82,56.73,85.44,66.0,2.24
452,NO,1561659684,75,71,64.47,12.32,51.8,9.17
453,BR,1561659685,75,57,-20.51,-54.63,78.8,14.99
454,US,1561659473,75,51,64.84,-147.72,63.0,5.82
455,DE,1561659686,0,38,50.53,8.41,84.99,11.41
456,BO,1561659686,20,73,-19.0,-57.72,75.2,11.41
457,NA,1561659686,0,28,-17.91,19.77,71.6,3.36
458,ML,1561659687,13,10,18.44,1.41,103.09,2.95
459,HN,1561659543,68,41,14.68,-86.92,84.55,11.92
460,RU,1561659687,100,93,65.8,87.96,51.07,8.59
461,WS,1561659687,100,83,-13.87,-171.6,78.01,11.99
462,RU,1561659688,100,39,51.52,104.15,57.99,7.0
463,EC,1561659688,20,73,-0.9,-89.6,77.0,20.8
464,BB,1561659549,20,58,13.22,-59.52,87.8,25.28
465,CN,1561659389,98,52,38.94,100.46,59.35,9.66
466,UG,1561659688,97,89,0.2,30.01,68.17,3.09
467,GR,1561659689,40,74,36.82,21.7,82.0,10.92
468,ZA,1561659519,0,72,-28.77,32.06,71.23,24.76
469,US,1561659539,1,58,40.27,-96.75,89.01,14.99
470,ID,1561659689,1,79,-7.54,112.45,70.51,11.03
471,CA,1561659690,1,56,52.16,-103.52,70.87,1.28
472,BR,1561659481,0,28,-14.47,-48.46,86.53,8.9
473,US,1561659690,75,59,46.19,-123.83,64.4,9.17
474,IR,1561659690,0,9,33.6,56.92,93.2,2.24
475,GB,1561659691,40,72,52.47,1.45,64.4,13.87
476,BI,1561659691,75,73,-2.89,29.12,75.2,2.24
477,JP,1561659692,100,87,44.35,143.35,51.01,1.99
478,US,1561659447,1,70,33.83,-78.68,91.99,10.29
479,TZ,1561659692,40,47,-10.0,38.98,68.89,3.02
480,SA,1561659692,0,56,16.89,42.56,96.8,3.36
481,CA,1561659692,75,72,53.28,-110.01,66.2,8.05
482,CA,1561659693,90,81,58.81,-122.69,51.8,2.24
483,ID,1561659693,100,87,-2.88,108.27,77.71,4.0
484,US,1561659685,75,87,46.98,-123.89,61.0,5.82
485,RS,1561659693,0,88,43.14,20.51,66.55,2.01
486,JP,1561659694,75,93,42.65,141.6,62.01,3.36
487,ES,1561659694,0,18,40.66,-3.77,102.2,18.34
488,CA,1561659694,75,72,55.78,-118.84,62.6,10.29
489,ES,1561659695,40,72,42.77,-9.06,71.01,10.29
490,JP,1561659517,75,100,33.93,134.5,73.99,1.12
491,BR,1561659405,40,47,-2.76,-42.27,95.0,9.17
492,GB,1561659695,0,32,53.14,-4.27,80.6,3.36
493,RU,1561659695,0,87,60.95,29.13,57.2,5.82
494,AU,1561659617,84,97,-41.05,145.91,44.01,5.99
495,CA,1561659696,20,35,44.08,-80.2,87.01,6.93
496,NO,1561659696,75,71,61.6,5.03,57.99,12.75
497,PL,1561659696,0,43,50.43,21.28,73.99,12.75
498,BR,1561659696,31,30,-15.9,-54.74,90.31,8.12
499,RU,1561659697,30,86,56.19,50.4,47.83,4.43
500,RU,1561659697,100,96,68.05,39.51,43.33,10.02
501,CN,1561659697,0,73,38.95,121.19,78.01,2.24
502,RU,1561659697,96,81,60.87,60.43,48.19,1.74
503,CA,1561659698,75,88,48.84,-72.53,66.2,4.7
504,CA,1561659698,40,43,68.36,-133.71,53.6,3.36
505,NG,1561659698,100,91,5.68,5.76,75.55,5.73
506,RU,1561659698,0,60,55.02,82.61,71.6,6.71
507,NO,1561659699,75,76,62.58,6.12,52.0,11.41
508,BR,1561659699,40,50,-2.54,-57.76,90.85,5.97
509,BR,1561659699,5,39,-6.22,-57.76,92.29,5.12
510,RU,1561659699,26,90,49.74,142.83,39.73,0.96
511,IN,1561659555,32,76,10.57,72.64,84.01,16.98
512,MX,1561659700,0,41,23.92,-106.89,96.01,8.99
513,GW,1561659700,20,44,12.07,-16.03,95.0,11.41
514,RU,1561659700,75,72,65.95,111.51,62.6,8.95
515,BR,1561659701,40,36,-9.87,-56.08,95.0,9.17
516,US,1561659701,1,62,35.92,-94.97,88.0,12.75
517,MU,1561659701,75,73,-20.01,57.66,73.4,11.41
518,GL,1561659702,40,62,60.72,-46.03,53.6,8.05
519,GB,1561659702,0,72,54.28,-0.41,68.0,9.17
520,IN,1561659702,100,99,28.17,94.8,60.61,1.3
521,AO,1561659702,32,82,-15.19,12.15,66.01,13.38
522,UY,1561659702,0,41,-34.91,-54.96,57.2,5.82
523,AU,1561659703,77,86,-38.34,143.59,51.01,7.99
524,KE,1561659703,65,59,0.35,37.58,74.11,18.86
525,PH,1561659703,100,77,13.08,123.3,83.29,12.01
526,US,1561659703,1,31,32.98,-115.53,90.0,4.7
527,CA,1561659704,40,44,42.96,-81.62,86.0,2.24
528,IT,1561659704,5,49,46.14,12.22,98.6,3.36
529,KZ,1561659704,90,76,52.04,76.93,57.2,13.42
530,US,1561659705,1,66,40.33,-91.2,90.0,6.93
531,TZ,1561659705,91,83,-1.9,34.02,67.99,0.81
532,RU,1561659509,88,70,66.82,65.8,47.11,3.85
533,GM,1561659705,14,22,13.79,-15.05,104.53,10.54
534,BR,1561659706,0,18,-13.61,-42.94,86.89,6.04
535,CN,1561659706,93,68,52.34,124.71,51.79,2.06
536,RU,1561659706,69,78,58.61,125.39,51.07,3.78
537,RU,1561659707,35,72,65.85,74.49,45.13,7.92
538,ID,1561659707,22,72,-8.84,121.65,76.27,9.57
539,RU,1561659707,100,86,45.23,147.88,47.65,9.35
540,RU,1561659708,87,57,61.68,96.39,64.93,3.29
541,US,1561659618,75,36,58.3,-134.42,75.2,13.87
